127.0.0.1 - - [23/Jul/2025:13:40:47 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:40:49 +0530] "GET /new_pr/index.html HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:40:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:40:58 +0530] "POST /new_pr/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:40:58 +0530] "GET /new_pr/index.html?error=1 HTTP/1.1" 200 5982
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:47:39 +0530] "GET /new_pr/index.html?error=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:47:43 +0530] "GET /new_pr/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:47:44 +0530] "GET /new_pr/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:47:45 +0530] "GET /new_pr/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:47:58 +0530] "POST /new_pr/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:47:58 +0530] "GET /new_pr/index.html?error=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:48:25 +0530] "POST /new_pr/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2025:13:48:26 +0530] "GET /new_pr/masterDashboard.jsp HTTP/1.1" 200 3767
